dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.800249,3.327903,5.165653,1.704077,0.183368,1.410873,0.418025
0.020000,5.831337,3.342076,5.199819,1.708302,0.211266,1.394937,0.437470
0.020000,5.862230,3.356888,5.234079,1.713018,0.235798,1.226562,0.456600
0.020000,5.892929,3.372329,5.268443,1.718213,0.259777,1.198988,0.475384
0.020000,5.923437,3.388391,5.302921,1.723864,0.282522,1.137246,0.493791
0.020000,5.953752,3.405065,5.337519,1.729904,0.302008,0.974269,0.511796
0.020000,5.983878,3.422338,5.372245,1.736316,0.320579,0.928573,0.529373
0.020000,6.013814,3.440201,5.407106,1.743051,0.336748,0.808454,0.546502
0.020000,6.043564,3.458641,5.442107,1.750069,0.350911,0.708132,0.563163
0.020000,6.073130,3.477646,5.477254,1.757335,0.363312,0.620056,0.579339
0.020000,6.102513,3.497202,5.512550,1.764807,0.373614,0.515093,0.595017
0.020000,6.131717,3.517295,5.547999,1.772451,0.382182,0.428418,0.610186
0.020000,6.160745,3.537912,5.583604,1.780233,0.389105,0.346152,0.624836
0.020000,6.189601,3.559038,5.619366,1.788120,0.394334,0.261455,0.638960
0.020000,6.218289,3.580657,5.655288,1.796082,0.398133,0.189940,0.652554
0.020000,6.246813,3.602755,5.691370,1.804098,0.400773,0.132013,0.665613
0.020000,6.275177,3.625315,5.727613,1.812132,0.401716,0.047135,0.678137
0.020000,6.303387,3.648324,5.764016,1.820179,0.402335,0.030941,0.690124
0.020000,6.331450,3.671764,5.800580,1.828207,0.401399,-0.046779,0.701576
0.020000,6.359369,3.695621,5.837304,1.836205,0.399910,-0.074455,0.712495
0.020000,6.387153,3.719878,5.874188,1.844165,0.397982,-0.096410,0.722884
0.020000,6.414808,3.744521,5.911229,1.852062,0.394877,-0.155223,0.732746
0.020000,6.442342,3.769533,5.948427,1.859901,0.391922,-0.147785,0.742085
0.020000,6.469761,3.794900,5.985780,1.867671,0.388519,-0.170163,0.750907
0.020000,6.497073,3.820606,6.023288,1.875360,0.384441,-0.203891,0.759216
0.020000,6.524288,3.846637,6.060947,1.882971,0.380567,-0.193671,0.767017
0.020000,6.551413,3.872977,6.098757,1.890505,0.376674,-0.194653,0.774317
0.020000,6.578459,3.899613,6.136716,1.897956,0.372560,-0.205724,0.781120
0.020000,6.605433,3.926529,6.174823,1.905319,0.368145,-0.220759,0.787431
0.020000,6.632346,3.953712,6.213075,1.912609,0.364502,-0.182141,0.793257
0.020000,6.659208,3.981148,6.251471,1.919822,0.360649,-0.192642,0.798602
0.020000,6.686029,4.008823,6.290010,1.926961,0.356954,-0.184721,0.803472
0.020000,6.712819,4.036724,6.328691,1.934028,0.353346,-0.180400,0.807870
0.020000,6.739589,4.064838,6.367512,1.941031,0.350169,-0.158855,0.811801
0.020000,6.766351,4.093152,6.406471,1.947977,0.347302,-0.143375,0.815269
0.020000,6.793115,4.121652,6.445569,1.954870,0.344621,-0.134048,0.818278
0.020000,6.819893,4.150328,6.484803,1.961715,0.342251,-0.118486,0.820830
0.020000,6.846697,4.179164,6.524173,1.968519,0.340196,-0.102782,0.822929
0.020000,6.873539,4.208151,6.563679,1.975288,0.338455,-0.087023,0.824576
0.020000,6.900431,4.237275,6.603320,1.982032,0.337198,-0.062849,0.825774
0.020000,6.927386,4.266523,6.643095,1.988756,0.336206,-0.049628,0.826524
0.020000,6.954417,4.295885,6.683004,1.995467,0.335577,-0.031420,0.826826
0.020000,6.981536,4.325347,6.723048,2.002174,0.335316,-0.013047,0.826681
0.020000,7.008757,4.354899,6.763225,2.008882,0.335424,0.005385,0.826089
0.020000,7.036093,4.384526,6.803537,2.015601,0.335956,0.026619,0.825049
0.020000,7.063558,4.414218,6.843984,2.022337,0.336784,0.041389,0.823560
0.020000,7.091165,4.443962,6.884566,2.029097,0.337983,0.059931,0.821620
0.020000,7.118930,4.473746,6.925284,2.035887,0.339535,0.077626,0.819228
0.020000,7.146866,4.503556,6.966138,2.042716,0.341430,0.094737,0.816380
0.020000,7.174988,4.533380,7.007130,2.049589,0.343679,0.112475,0.813074
0.020000,7.203311,4.563205,7.048260,2.056517,0.346385,0.135284,0.809306
0.020000,7.231849,4.593017,7.089530,2.063499,0.349080,0.134726,0.805073
0.020000,7.260618,4.622803,7.130941,2.070543,0.352190,0.155495,0.800370
0.020000,7.289634,4.652548,7.172494,2.077653,0.355548,0.167928,0.795193
0.020000,7.318911,4.682238,7.214191,2.084838,0.359249,0.185025,0.789537
0.020000,7.348465,4.711858,7.256033,2.092101,0.363152,0.195168,0.783396
0.020000,7.378311,4.741391,7.298022,2.099438,0.366847,0.184754,0.776767
0.020000,7.408467,4.770822,7.340159,2.106855,0.370853,0.200299,0.769643
0.020000,7.438946,4.800134,7.382446,2.114358,0.375125,0.213622,0.762019
0.020000,7.469766,4.829309,7.424885,2.121943,0.379259,0.206691,0.753889
0.020000,7.500942,4.858330,7.467477,2.129603,0.382969,0.185505,0.745248
0.020000,7.532488,4.887176,7.510224,2.137340,0.386873,0.195165,0.736092
0.020000,7.564422,4.915828,7.553127,2.145158,0.390910,0.201847,0.726414
0.020000,7.596757,4.944265,7.596187,2.153032,0.393707,0.139891,0.716211
0.020000,7.629507,4.972466,7.639407,2.160967,0.396722,0.150709,0.705479
0.020000,7.662689,5.000408,7.682786,2.168955,0.399419,0.134854,0.694215
0.020000,7.696314,5.028067,7.726325,2.176969,0.400690,0.063559,0.682416
0.020000,7.730396,5.055419,7.770025,2.185009,0.402006,0.065827,0.670081
0.020000,7.764946,5.082439,7.813886,2.193049,0.402015,0.000440,0.657210
0.020000,7.799976,5.109099,7.857908,2.201069,0.400966,-0.052483,0.643804
0.020000,7.835496,5.135373,7.902089,2.209054,0.399247,-0.085907,0.629866
0.020000,7.871514,5.161232,7.946428,2.216965,0.395572,-0.183797,0.615401
0.020000,7.908037,5.186647,7.990924,2.224786,0.391043,-0.226415,0.600413
0.020000,7.945071,5.211588,8.035573,2.232479,0.384640,-0.320143,0.584913
0.020000,7.982619,5.236026,8.080374,2.240013,0.376718,-0.396095,0.568911
0.020000,8.020684,5.259927,8.125321,2.247352,0.366945,-0.488667,0.552419
0.020000,8.059265,5.283263,8.170410,2.254462,0.355492,-0.572651,0.535453
0.020000,8.098360,5.306000,8.215636,2.261294,0.341602,-0.694508,0.518031
0.020000,8.137827,5.328033,8.260836,2.260033,-0.063057,-20.232956,0.500236
0.020000,8.177314,5.349159,8.305620,2.239160,-1.043659,-49.030072,0.482251
0.020000,8.216526,5.369239,8.349674,2.202710,-1.822465,-38.940335,0.464238
0.020000,8.255361,5.388252,8.392914,2.161996,-2.035698,-10.661658,0.446274
0.020000,8.293781,5.406216,8.435325,2.120581,-2.070751,-1.752606,0.428402
0.020000,8.331746,5.423150,8.476896,2.078539,-2.102119,-1.568405,0.410668
0.020000,8.369219,5.439077,8.517613,2.035845,-2.134703,-1.629205,0.393113
0.020000,8.406161,5.454024,8.557465,1.992590,-2.162725,-1.401126,0.375776
0.020000,8.442538,5.468018,8.596441,1.948797,-2.189650,-1.346219,0.358691
0.020000,8.478315,5.481089,8.634530,1.904481,-2.215836,-1.309301,0.341894
0.020000,8.513459,5.493271,8.671726,1.859757,-2.236177,-1.017084,0.325413
0.020000,8.547938,5.504595,8.708017,1.814579,-2.258916,-1.136915,0.309276
0.020000,8.581725,5.515099,8.743399,1.769079,-2.274972,-0.802806,0.293506
0.020000,8.614792,5.524816,8.777864,1.723246,-2.291656,-0.834200,0.278125
0.020000,8.647114,5.533783,8.811407,1.677145,-2.305050,-0.669685,0.263150
0.020000,8.678668,5.542038,8.844023,1.630831,-2.315690,-0.532016,0.248597
0.020000,8.709435,5.549617,8.875710,1.584326,-2.325292,-0.480111,0.234478
0.020000,8.739395,5.556558,8.906463,1.537657,-2.333454,-0.408095,0.220803
0.020000,8.768531,5.562895,8.936281,1.490888,-2.338453,-0.249958,0.207580
0.020000,8.796829,5.568667,8.965161,1.444033,-2.342747,-0.214698,0.194814
0.020000,8.824276,5.573907,8.993104,1.397124,-2.345439,-0.134597,0.182509
0.020000,8.850859,5.578651,9.020107,1.350157,-2.348330,-0.144560,0.170668
0.020000,8.876570,5.582931,9.046171,1.303226,-2.346550,0.089034,0.159290
0.020000,8.901398,5.586781,9.071296,1.256242,-2.349186,-0.131827,0.148375
0.020000,8.925338,5.590231,9.095484,1.209366,-2.343820,0.268280,0.137921
0.020000,8.948382,5.593313,9.118733,1.162473,-2.344638,-0.040892,0.127925
0.020000,8.970527,5.596054,9.141047,1.115676,-2.339875,0.238171,0.118383
0.020000,8.991767,5.598482,9.162425,1.068925,-2.337524,0.117550,0.109291
0.020000,9.012100,5.600624,9.182870,1.022263,-2.333116,0.220383,0.100644
0.020000,9.031522,5.602505,9.202384,0.975658,-2.330229,0.144384,0.092436
0.020000,9.050032,5.604148,9.220966,0.929150,-2.325442,0.239338,0.084663
0.020000,9.067628,5.605576,9.238621,0.882701,-2.322438,0.150199,0.077319
0.020000,9.084310,5.606811,9.255348,0.836378,-2.316130,0.315382,0.070397
0.020000,9.100078,5.607871,9.271151,0.790142,-2.311817,0.215644,0.063891
0.020000,9.114929,5.608776,9.286030,0.743973,-2.308431,0.169310,0.057797
0.020000,9.128866,5.609542,9.299988,0.697869,-2.305235,0.159816,0.052108
0.020000,9.141888,5.610187,9.313026,0.651897,-2.298581,0.332688,0.046818
0.020000,9.153996,5.610724,9.325146,0.605997,-2.295010,0.178569,0.041922
0.020000,9.165190,5.611169,9.336348,0.560143,-2.292663,0.117340,0.037416
0.020000,9.175471,5.611532,9.346636,0.514365,-2.288924,0.186959,0.033294
0.020000,9.184840,5.611827,9.356010,0.468690,-2.283772,0.257603,0.029552
0.020000,9.193298,5.612062,9.364471,0.423057,-2.281628,0.107172,0.026185
0.020000,9.200845,5.612249,9.372021,0.377489,-2.278377,0.162556,0.023190
0.020000,9.207482,5.612394,9.378659,0.331929,-2.278039,0.016895,0.020564
0.020000,9.213211,5.612505,9.384389,0.286471,-2.272908,0.256540,0.018302
0.020000,9.218031,5.612589,9.389210,0.241052,-2.270948,0.098007,0.016403
0.020000,9.221943,5.612650,9.393122,0.195619,-2.271634,-0.034314,0.014865
0.020000,9.224947,5.612693,9.396127,0.150237,-2.269083,0.127586,0.013685
0.020000,9.227045,5.612721,9.398225,0.104899,-2.266919,0.108195,0.012862
0.020000,9.228236,5.612736,9.399416,0.059582,-2.265847,0.053587,0.012395
0.020000,9.228677,5.612741,9.399857,0.022014,-1.878381,19.373300,0.012222
0.020000,9.228748,5.612742,9.399928,0.003558,-0.922796,47.779268,0.012195
0.020000,9.228748,5.612742,9.399928,0.000000,-0.177918,37.243865,0.012195
